index,VIX,Lumber,SPY
2000-03,22.718260869565217,333.9,150.375
2000-04,27.0985,311.2494736842105,146.2319105263158
2000-05,26.290434782608692,291.77727272727276,142.08025
2000-06,21.54,288.3527272727273,146.52131818181817
2000-07,19.89,258.65500000000003,147.503905
2000-08,18.088695652173914,234.65391304347827,148.96536086956522
2000-09,19.584761904761905,235.365,147.05311999999998
2000-10,25.2,222.28454545454545,139.20240454545456
2000-11,26.443181818181817,234.6047619047619,137.78347142857143
2000-12,26.579047619047618,216.59099999999998,133.110165
2001-01,24.98695652173913,213.3,133.74395714285714
2001-02,23.347,207.7263157894737,130.93473684210528
2001-03,28.49681818181818,230.4090909090909,118.9
2001-04,28.038095238095234,263.347,119.14949999999999
2001-05,22.842173913043478,327.3363636363636,127.42363636363638
2001-06,20.94047619047619,312.5752380952381,124.19380952380953
2001-07,22.16181818181818,297.3857142857143,120.71
2001-08,21.86173913043478,318.1808695652174,118.29782608695652
2001-09,33.913,275.70588235294116,104.9
2001-10,32.72130434782609,230.6130434782609,107.87782608695652
2001-11,26.520000000000003,227.0761904761905,113.46619047619048
2001-12,23.66761904761905,242.1,114.954
2002-01,22.331739130434784,265.18571428571425,114.32476190476191
2002-02,22.8505,285.5178947368421,110.47315789473686
2002-03,18.90952380952381,309.71500000000003,115.7375
2002-04,19.900454545454547,287.84090909090907,111.45863636363637
2002-05,20.03608695652174,290.53636363636366,108.33909090909091
2002-06,25.271,271.837,101.9105
2002-07,33.848260869565216,265.03181818181815,90.53727272727272
2002-08,33.74272727272727,246.11818181818182,91.68454545454546
2002-09,37.40904761904762,224.575,87.176
2002-10,35.24304347826087,228.96347826086955,85.90173913043478
2002-11,28.13095238095238,230.865,91.463
2002-12,28.132272727272724,230.70700000000002,90.37785714285714
2003-01,27.401304347826088,244.0,89.87238095238095
2003-02,32.2385,265.00842105263155,84.28631578947369
2003-03,30.634285714285717,243.17619047619047,85.09476190476191
2003-04,23.878636363636364,243.24761904761903,89.27619047619048
2003-05,20.19090909090909,242.88095238095238,94.01095238095238
2003-06,20.362380952380953,282.2704761904762,99.2404761904762
2003-07,19.171304347826087,282.48636363636365,99.60909090909091
2003-08,19.274285714285714,313.9866666666667,99.40857142857142
2003-09,19.491363636363637,319.7857142857143,102.41809523809525
2003-10,18.023478260869567,291.06347826086954,104.28869565217391
2003-11,17.3425,298.81052631578945,105.47157894736843
2003-12,16.819130434782608,295.9318181818182,108.58454545454546
2004-01,16.151363636363637,339.16999999999996,113.58099999999999
2004-02,15.977500000000001,369.80105263157895,114.74526315789473
2004-03,17.687391304347827,367.11739130434785,112.82391304347826
2004-04,15.72409090909091,405.81523809523816,113.66380952380953
2004-05,17.6,409.57000000000005,110.768
2004-06,15.342727272727274,384.68666666666667,113.7695238095238
2004-07,15.483181818181817,397.81904761904764,110.95619047619047
2004-08,16.68409090909091,424.75454545454545,109.44136363636363
2004-09,14.084545454545456,365.51428571428573,112.29523809523809
2004-10,14.973809523809523,310.9409523809524,112.18
2004-11,13.538636363636364,322.9809523809524,117.30761904761906
2004-12,12.406086956521738,338.3676190476191,120.05045454545456
2005-01,13.39,365.725,118.07249999999999
2005-02,11.682500000000001,397.5936842105263,120.08473684210527
2005-03,13.139130434782608,397.5363636363636,119.61318181818183
2005-04,14.459047619047618,370.75142857142856,116.45333333333333
2005-05,13.885000000000002,349.8095238095238,118.02047619047619
2005-06,11.868636363636364,340.53181818181815,120.41136363636365
2005-07,11.065714285714286,324.265,122.3425
2005-08,12.951304347826087,285.2321739130435,122.69695652173914
2005-09,12.67090909090909,301.7190476190476,122.74619047619048
2005-10,14.937619047619048,292.56380952380954,119.16571428571429
2005-11,12.093636363636364,331.9,124.03380952380952
2005-12,11.215,339.13,126.31714285714285
2006-01,12.00090909090909,372.275,127.809
2006-02,12.448,343.6073684210526,127.76736842105262
2006-03,11.69391304347826,331.6434782608696,129.51565217391305
2006-04,11.873999999999999,333.77,130.2342105263158
2006-05,14.44608695652174,325.0954545454546,129.11045454545453
2006-06,16.918636363636363,297.8990909090909,125.42045454545455
2006-07,15.217619047619047,285.415,126.0385
2006-08,13.351739130434783,275.18695652173915,128.98565217391305
2006-09,12.173809523809524,263.635,131.95850000000002
2006-10,11.306363636363637,248.99818181818182,136.3368181818182
2006-11,10.786818181818182,263.3666666666667,139.1461904761905
2006-12,10.983333333333334,265.096,141.7625
2007-01,11.048695652173913,271.475,142.313
2007-02,11.0985,264.0515789473684,144.59842105263158
2007-03,15.162727272727272,248.33636363636361,140.75954545454545
2007-04,12.947142857142856,246.663,146.35150000000002
2007-05,13.299565217391304,257.10909090909087,151.29954545454547
2007-06,14.947619047619046,285.33809523809526,151.5038095238095
2007-07,17.166363636363638,294.8857142857143,151.91285714285715
2007-08,25.02608695652174,272.12782608695653,145.64565217391305
2007-09,22.258000000000003,244.53684210526316,149.95473684210526
2007-10,19.115652173913045,236.89043478260868,153.87130434782608
2007-11,25.639545454545456,256.64761904761906,146.47809523809525
2007-12,21.505714285714287,245.555,148.1005
